question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty
44,A notebook costs $4.50. How much will 5 notebooks cost?,$22.50,5 notebooks * $4.50/notebook = $22.50,"Solve the following math problem: A notebook costs $4.50. How much will 5 notebooks cost?
Answer: To find the cost of 5 notebooks, we need to multiply the cost of one notebook by 5. 

Cost of one notebook = $4.50
Number of notebooks = 5

Cost of 5 notebooks = $4.50 × 5 = $22.50

Therefore, 5 notebooks will cost $22.50.
The answer is $22.50.",Basic Arithmetic,Easy
45,"Tom is 3 years younger than Jack. If Jack is 15, how old is Tom?",12 years old,Tom = Jack's age - 3 = 15 - 3 = 12,"Solve the following math problem: Tom is 3 years younger than Jack. If Jack is 15, how old is Tom?
Answer: Let Tom's age be T. Then we have T = Jack's age - 3. Substituting Jack's age with 15, we get T = 15 - 3 = 12. Therefore, Tom is 12 years old.
The answer is Tom is 12 years old.",Age Problems (Basic),Easy
46,A car travels at 50 miles per hour. How far does it travel in 4 hours?,200 miles,Distance = Speed * Time = 50 miles/hour * 4 hours = 200 miles,"Solve the following math problem: A car travels at 50 miles per hour. How far does it travel in 4 hours?
Answer: To solve this problem, we can use the formula distance = rate x time. Plugging in the given values, we get distance = 50 x 4 = 200 miles. Therefore, the car travels 200 miles in 4 hours. The answer is 200 miles.",Distance-Rate-Time,Easy
47,John and Mike together have 90 dollars. John has 20 dollars more than Mike. How much does each have?,John has 55 dollars and Mike has 35 dollars,"Let Mike's dollars = x
John's dollars = x + 20
x + (x + 20) = 90
2x + 20 = 90
2x = 70
x = 35
John = 55, Mike = 35","Solve the following math problem: John and Mike together have 90 dollars. John has 20 dollars more than Mike. How much does each have?
Answer: Let's assume that Mike has x dollars. Since John has 20 dollars more than Mike, John would have x + 20 dollars.

According to the given information, the total amount they have together is 90 dollars. So, we can write the equation as:

x + (x + 20) = 90

Combining like terms, we get:

2x + 20 = 90

Subtracting 20 from both sides, we have:

2x = 70

Dividing both sides by 2, we get:

x = 35

Now we can find the amount",Equations with Two Variables,Medium
48,"A solution contains 40% salt. If there are 20 liters of solution, how much salt is in the solution?",8 liters of salt,Amount of salt = 40% of 20 liters = 0.4 * 20 = 8 liters,"Solve the following math problem: A solution contains 40% salt. If there are 20 liters of solution, how much salt is in the solution?
Answer: To find the amount of salt in the solution, we need to calculate 40% of 20 liters.

Step 1: Convert the percentage to a decimal by dividing it by 100. 40/100 = 0.4.
Step 2: Multiply the decimal by the total volume of the solution. 0.4 x 20 = 8.

Therefore, there are 8 liters of salt in the solution.

The answer is 8 liters.",Mixture Problems,Medium
49,A car and a bike together can cover a distance in 2 hours. The car alone can cover it in 1.5 hours. How long will the bike take to cover the distance alone?,6 hours,"Rate of car = 1/1.5 distance/hour, Rate of bike = 1/x distance/hour
Together: 1/1.5 + 1/x = 1/2
Solve for x = 6 hours","Solve the following math problem: A car and a bike together can cover a distance in 2 hours. The car alone can cover it in 1.5 hours. How long will the bike take to cover the distance alone?
Answer: Let's assume that the bike takes x hours to cover the distance alone.

In 1 hour, the car can cover 1/1.5 of the distance, which is 2/3 of the distance.
In 1 hour, the bike can cover 1/x of the distance.

When they work together for 2 hours, they cover the entire distance. So, their combined work rate is 1/2.

Using the work formula, we can set up the equation:
1/1.5 + 1/x = 1/2

To solve for x, we can multiply both sides of the equation by 3x to eliminate the denominators:",Work Problems,Medium
50,"In 3 years, Anna will be three times as old as she was 5 years ago. How old is Anna now?",7 years old,"Let Anna's current age = x
In 3 years, Anna's age = x + 3
5 years ago, Anna's age = x - 5
x + 3 = 3(x - 5)
x + 3 = 3x - 15
x = 7","Solve the following math problem: In 3 years, Anna will be three times as old as she was 5 years ago. How old is Anna now?
Answer: Let's assume Anna's current age is x years.
According to the problem, in 3 years, Anna will be x + 3 years old.
And 5 years ago, Anna was x - 5 years old.
The problem states that in 3 years, Anna will be three times as old as she was 5 years ago, so we can set up the equation:
x + 3 = 3(x - 5)
Expanding the equation:
x + 3 = 3x - 15
Subtracting x from both sides:
3 = 2x - 15
Adding 15 to both sides:
18",Age Problems (Complex),Medium
51,A laptop is priced at $900 with a 20% discount. What is the sale price?,$720,Sale price = $900 * (1 - 0.20) = $900 * 0.80 = $720,"Solve the following math problem: A laptop is priced at $900 with a 20% discount. What is the sale price?
Answer: To find the sale price, we need to calculate the discount first. 

Discount = 20% of $900
Discount = 0.20 x $900
Discount = $180

Now we can calculate the sale price by subtracting the discount from the original price.

Sale Price = Original Price - Discount
Sale Price = $900 - $180
Sale Price = $720

Therefore, the sale price of the laptop is $720.",Percentage Problems,Easy
52,A car travels 100 miles in 2 hours. What is the average speed?,50 miles per hour,Speed = Distance / Time = 100 miles / 2 hours = 50 miles per hour,"Solve the following math problem: A car travels 100 miles in 2 hours. What is the average speed?
Answer: To find the average speed, we need to divide the total distance traveled by the total time taken. In this case, the car traveled 100 miles in 2 hours. 

Average speed = Total distance / Total time
Average speed = 100 miles / 2 hours
Average speed = 50 miles per hour

Therefore, the average speed of the car is 50 miles per hour. The answer is 50 miles per hour.",Distance-Rate-Time,Easy
53,"Jack buys 3 shirts, each priced at $30. He gets a $15 discount. How much does he pay?",$75,"Total = 3 * $30 = $90
Discount = $15
Final amount = $90 - $15 = $75","Solve the following math problem: Jack buys 3 shirts, each priced at $30. He gets a $15 discount. How much does he pay?
Answer: To find the total cost, we first need to calculate the original price of the 3 shirts. Since each shirt is priced at $30, the total cost without any discount would be:

3 shirts * $30/shirt = $90

Next, we need to subtract the discount of $15 from the total cost:

$90 - $15 = $75

Therefore, Jack pays $75 for the 3 shirts after the discount.

The answer is $75.",Simple Equations,Easy
54,A square has a side length of 6 meters. What is its area?,36 square meters,Area = side^2 = 6^2 = 36 square meters,"Solve the following math problem: A square has a side length of 6 meters. What is its area?
Answer: To find the area of a square, we multiply the length of one side by itself. In this case, the side length is 6 meters. So, the area of the square is 6 meters multiplied by 6 meters, which is 36 square meters.

Therefore, the answer is 36 square meters.",Geometry,Easy
55,"Tom has 3 times as many books as Lisa. Together, they have 80 books. How many books does each have?","Tom has 60 books, Lisa has 20 books","Let Lisa's books = x
Tom's books = 3x
x + 3x = 80
4x = 80
x = 20, 3x = 60","Solve the following math problem: Tom has 3 times as many books as Lisa. Together, they have 80 books. How many books does each have?
Answer: Let's assume Lisa has x books. Since Tom has 3 times as many books as Lisa, Tom has 3x books.
According to the problem, the total number of books they have together is 80. So, we can write the equation as:
x + 3x = 80
Combining like terms, we get:
4x = 80
To solve for x, we divide both sides of the equation by 4:
x = 20
Therefore, Lisa has 20 books and Tom has 3 times as many, which is 3 * 20 = 60 books.
The answer is Lisa has 20 books and",Equations with Two Variables,Medium
56,"A company’s revenue increased by 15% this year. Last year’s revenue was $120,000. What is this year’s revenue?","$138,000","New revenue = $120,000 * (1 + 0.15) = $120,000 * 1.15 = $138,000","Solve the following math problem: A company’s revenue increased by 15% this year. Last year’s revenue was $120,000. What is this year’s revenue?
Answer: To find this year’s revenue, we need to calculate 15% of last year’s revenue and add it to last year’s revenue.

Step 1: Calculate 15% of $120,000
15% of $120,000 = 0.15 * $120,000 = $18,000

Step 2: Add the calculated amount to last year’s revenue
This year’s revenue = $120,000 + $18,000 = $138,000

The answer is $138,000",Percentage Problems,Medium
57,A train is moving at 80 miles per hour. How far will it travel in 3.5 hours?,280 miles,Distance = Speed * Time = 80 miles/hour * 3.5 hours = 280 miles,"Solve the following math problem: A train is moving at 80 miles per hour. How far will it travel in 3.5 hours?
Answer: To solve this problem, we will use the formula: distance = speed x time.
Given that the train is moving at 80 miles per hour and it travels for 3.5 hours, we can calculate the distance it will travel as follows:
distance = 80 x 3.5
distance = 280 miles
Therefore, the train will travel 280 miles in 3.5 hours. The answer is 280 miles.",Distance-Rate-Time,Medium
58,"A rectangle has a perimeter of 60 meters. If the length is twice the width, what are the dimensions of the rectangle?","Length = 20 meters, Width = 10 meters","Let width = w, length = 2w
Perimeter = 2(l + w) = 60
2(2w + w) = 60
6w = 60
w = 10, l = 20","Solve the following math problem: A rectangle has a perimeter of 60 meters. If the length is twice the width, what are the dimensions of the rectangle?
Answer: Let the width of the rectangle be x meters. Since the length is twice the width, the length is 2x meters.

The formula for the perimeter of a rectangle is given by P = 2(length + width). Substituting the given values, we have:
60 = 2(2x + x)

Simplifying the equation, we get:
60 = 2(3x)
60 = 6x
x = 10

Therefore, the width of the rectangle is 10 meters and the length is 2 times the width, which is 20 meters.

The answer is:
The dimensions of the rectangle",Geometry,Medium
59,"A chemical solution contains 30% salt. If there are 40 liters of solution, how much salt is present?",12 liters of salt,Amount of salt = 30% of 40 liters = 0.30 * 40 = 12 liters,"Solve the following math problem: A chemical solution contains 30% salt. If there are 40 liters of solution, how much salt is present?
Answer: To find the amount of salt in the solution, we need to calculate 30% of 40 liters. 

Step 1: Convert 30% to a decimal by dividing it by 100: 30/100 = 0.3.
Step 2: Multiply 0.3 by 40 liters: 0.3 * 40 = 12.

Therefore, there are 12 liters of salt present in the solution.

The answer is 12 liters.",Mixture Problems,Medium
60,Two pipes can fill a tank in 6 hours working together. Pipe A alone can fill it in 9 hours. How long will Pipe B take to fill the tank alone?,18 hours,"Rate of Pipe A = 1/9 tanks/hour, Rate of Pipe B = 1/x tanks/hour
Together: 1/9 + 1/x = 1/6
Solve for x = 18 hours","Solve the following math problem: Two pipes can fill a tank in 6 hours working together. Pipe A alone can fill it in 9 hours. How long will Pipe B take to fill the tank alone?
Answer: Let the time taken by Pipe B to fill the tank alone be x hours.
Working together, the two pipes can fill the tank in 6 hours. Therefore, their combined work rate is 1/6.
Pipe A alone can fill the tank in 9 hours. Therefore, its work rate is 1/9.
Using the formula for inverse proportionality, we can write:
1/6 = 1/9 + 1/x
Multiplying both sides by the LCM of 6 and 9, which is 18, we get:
3 = 2 + 18/x
Simplifying, we get:
18/x",Work Problems,Medium
61,"A store sells two types of bags. Bag A costs $50 and Bag B costs $30. If 10 bags are sold for a total of $400, how many of each type were sold?",4 Bag A and 6 Bag B,"Let number of Bag A = x and number of Bag B = y
x + y = 10
50x + 30y = 400
Solve system of equations","Solve the following math problem: A store sells two types of bags. Bag A costs $50 and Bag B costs $30. If 10 bags are sold for a total of $400, how many of each type were sold?
Answer: Let's assume that x represents the number of Bag A sold and y represents the number of Bag B sold. 
We can set up two equations based on the given information: 
x + y = 10 (since 10 bags were sold in total)
50x + 30y = 400 (since the total cost of the bags sold was $400)
We can solve for x in the first equation by subtracting y from both sides: 
x = 10 - y 
Now we can substitute this expression for x in the second equation: 
50(10 - y) + 30y = 400",Systems of Equations,Hard
62,"The ratio of cats to dogs in a shelter is 3:4. If there are 70 animals in total, how many are cats and how many are dogs?",30 cats and 40 dogs,"Let cats = 3x, dogs = 4x
Total = 3x + 4x = 70
7x = 70
x = 10
Cats = 3 * 10 = 30, Dogs = 4 * 10 = 40","Solve the following math problem: The ratio of cats to dogs in a shelter is 3:4. If there are 70 animals in total, how many are cats and how many are dogs?
Answer: Let's call the number of cats in the shelter ""3x"" and the number of dogs ""4x"". We know that the total number of animals is 70, so we can set up the equation:

3x + 4x = 70

Combining like terms, we get:

7x = 70

Dividing both sides by 7, we get:

x = 10

Now we can find the number of cats and dogs by plugging in x:

Number of cats = 3x = 3(10) = 30
Number of dogs = 4x = 4(10) =",Ratio and Proportion Problems,Medium
63,"A machine can complete a task in 12 hours, and another machine can complete it in 16 hours. How long will it take them to finish the task working together?",6.86 hours,"Rate of Machine 1 = 1/12 tasks/hour, Rate of Machine 2 = 1/16 tasks/hour
Together: 1/12 + 1/16 = 7/48
Time = 1 / (7/48) = 6.86 hours","Solve the following math problem: A machine can complete a task in 12 hours, and another machine can complete it in 16 hours. How long will it take them to finish the task working together?
Answer: Let's assume that the time it takes for the two machines to complete the task working together is represented by $t$ hours. The rate at which the first machine completes the task is $\frac{1}{12}$ of the task per hour, and the rate at which the second machine completes the task is $\frac{1}{16}$ of the task per hour. When working together, their rates are additive, so we can write the equation $\frac{1}{12} + \frac{1}{16} = \frac{1}{t}$. To solve for $t$, we can find a common denominator and then solve the equation: 

$\frac{1}{12",Work Problems,Hard
64,"A rectangular garden has an area of 200 square meters. If the length is 10 meters more than the width, what are the dimensions of the garden?","Length = 20 meters, Width = 10 meters","Let width = w, length = w + 10
Area = l * w = 200
(w + 10)w = 200
Solve quadratic equation","Solve the following math problem: A rectangular garden has an area of 200 square meters. If the length is 10 meters more than the width, what are the dimensions of the garden?
Answer: Let's assume that the width of the garden is x meters. Then the length of the garden would be (x+10) meters. We know that the area of the garden is 200 square meters, so we can write an equation:
x(x+10) = 200
Expanding the left side, we get:
x^2 + 10x = 200
Subtracting 200 from both sides, we get:
x^2 + 10x - 200 = 0
We can solve this quadratic equation using the quadratic formula:
x = [-10 ± sqrt(10^",Quadratic Equations,Hard
65,"A man invests $5,000 at 6% annual interest, compounded annually. How much will he have after 3 years?","$5,955.08","A = P(1 + r/n)^(nt)
A = 5000(1 + 0.06/1)^(1*3)
A = 5000(1.06)^3 = $5,955.08","Solve the following math problem: A man invests $5,000 at 6% annual interest, compounded annually. How much will he have after 3 years?
Answer: To solve this problem, we can use the formula for compound interest: A = P(1 + r/n)^(nt), where A is the final amount, P is the principal amount, r is the annual interest rate, n is the number of times the interest is compounded per year, and t is the number of years.

In this case, P = $5,000, r = 6%, n = 1 (compounded annually), and t = 3 years. Plugging these values into the formula, we get:

A = 5000(1 + 0.06/1)^(1*3)
A = 500",Investment Problems,Medium
66,"The perimeter of a triangle is 36 meters. One side is twice the length of the shortest side, and the third side is 4 meters longer than the shortest side. Find the lengths of all sides.","8 meters, 16 meters, and 12 meters","Let shortest side = x
Second side = 2x, Third side = x + 4
x + 2x + (x + 4) = 36
Solve for x = 8","Solve the following math problem: The perimeter of a triangle is 36 meters. One side is twice the length of the shortest side, and the third side is 4 meters longer than the shortest side. Find the lengths of all sides.
Answer: Let x be the length of the shortest side. Then the length of the second side is 2x and the length of the third side is x+4. The perimeter of the triangle is the sum of the lengths of its sides, so we have:
x + 2x + (x+4) = 36
Simplifying the equation, we get:
4x + 4 = 36
Subtracting 4 from both sides, we get:
4x = 32
Dividing both sides by 4, we get:
x = 8
So the length of the shortest side is 8 meters, the length of the second side is",Geometry,Medium
67,"A car's value decreases by 20% per year. If the car is currently worth $12,000, what will its value be after 3 years?","$6,144","Value = 12000 * (1 - 0.20)^3 = 12000 * 0.80^3 = $6,144","Solve the following math problem: A car's value decreases by 20% per year. If the car is currently worth $12,000, what will its value be after 3 years?
Answer: To solve this problem, we need to calculate the value of the car after 3 years, considering a 20% decrease in value each year.

Step 1: Calculate the value after the first year.
The car's value decreases by 20% each year, so after the first year, the value will be 80% of the original value.
Value after the first year = $12,000 * 0.8 = $9,600

Step 2: Calculate the value after the second year.
Again, the value decreases by 20%, so after the second year, the value will be 80% of",Depreciation Problems,Medium
68,"Two trains leave a station at the same time, one traveling north at 60 miles per hour and the other traveling east at 80 miles per hour. How far apart are they after 2 hours?",100 miles,"Distance north = 60 * 2 = 120 miles
Distance east = 80 * 2 = 160 miles
Use Pythagorean theorem: Distance = sqrt(120^2 + 160^2) = 100 miles","Solve the following math problem: Two trains leave a station at the same time, one traveling north at 60 miles per hour and the other traveling east at 80 miles per hour. How far apart are they after 2 hours?
Answer: To solve this problem, we need to use the Pythagorean theorem, which states that in a right triangle, the square of the hypotenuse (the longest side) is equal to the sum of the squares of the other two sides. In this case, the two trains are moving in perpendicular directions, so we have a right triangle. Let's call the distance traveled by the northbound train ""dN"" and the distance traveled by the eastbound train ""dE"". Then, after 2 hours, we have:

dN = 60 mph x 2 hours = 120 miles
dE = 80 mph x 2 hours = 1",Pythagorean Theorem,Hard
69,"A worker is paid $15 per hour for the first 40 hours and $22.50 for overtime. If he worked 50 hours in a week, how much did he earn?",$825,"Regular pay = 40 * $15 = $600
Overtime pay = 10 * $22.50 = $225
Total earnings = $600 + $225 = $825","Solve the following math problem: A worker is paid $15 per hour for the first 40 hours and $22.50 for overtime. If he worked 50 hours in a week, how much did he earn?
Answer: In the first 40 hours, he earned 40 x $15 = $600. For the remaining 10 hours of overtime, he earned 10 x $22.50 = $225. Therefore, his total earnings for the week is $600 + $225 = $825.
The answer is $825.",Wage Problems,Medium
70,A boat travels 30 miles downstream in 3 hours and returns upstream in 5 hours. What is the speed of the current?,2 miles per hour,"Let boat speed in still water = b, current speed = c
Downstream speed = b + c = 30/3 = 10 mph
Upstream speed = b - c = 30/5 = 6 mph
Solve for c = 2 mph","Solve the following math problem: A boat travels 30 miles downstream in 3 hours and returns upstream in 5 hours. What is the speed of the current?
Answer: Let's assume the speed of the boat in still water is ""b"" and the speed of the current is ""c"".
When the boat travels downstream, the effective speed is increased by the speed of the current, so the boat's speed is b+c. The distance traveled is 30 miles and the time taken is 3 hours. Using the formula distance = speed × time, we have 30 = (b+c) × 3.

When the boat travels upstream, the effective speed is decreased by the speed of the current, so the boat's speed is b-c. The distance traveled is still 30 miles, but the time taken is now 5 hours",Current-Speed Problems,Medium
71,"A family spends 40% of their income on rent, 25% on food, and saves the rest. If their monthly income is $3,000, how much do they save?","$1,050","Savings = 100% - 40% - 25% = 35% of income
Savings = 35% * 3000 = $1,050","Solve the following math problem: A family spends 40% of their income on rent, 25% on food, and saves the rest. If their monthly income is $3,000, how much do they save?
Answer: To find out how much the family saves, we need to subtract the amount they spend on rent and food from their monthly income. 

First, let's calculate the amount they spend on rent: 
Rent = 40% of $3,000 = 0.40 x $3,000 = $1,200

Next, let's calculate the amount they spend on food: 
Food = 25% of $3,000 = 0.25 x $3,000 = $750

Now, let's subtract the amount they spend on rent and food from their monthly income to",Percentage Problems,Easy
72,The sum of three consecutive even numbers is 72. What are the numbers?,"22, 24, and 26","Let numbers = x, x + 2, x + 4
x + (x + 2) + (x + 4) = 72
3x + 6 = 72
Solve for x = 22","Solve the following math problem: The sum of three consecutive even numbers is 72. What are the numbers?
Answer: Let's call the first even number x. Since the numbers are consecutive even numbers, the second even number will be x + 2 and the third even number will be x + 4.
According to the problem, the sum of these three numbers is 72:
x + (x + 2) + (x + 4) = 72
Combining like terms, we get:
3x + 6 = 72
Subtracting 6 from both sides, we have:
3x = 66
Dividing both sides by 3, we find:
x = 22
So the first even number is 22, the second even",Consecutive Numbers,Medium
73,A factory can produce 100 units in 5 hours. How many units can it produce in 8 hours?,160 units,"Rate of production = 100/5 = 20 units per hour
Units in 8 hours = 20 * 8 = 160 units","Solve the following math problem: A factory can produce 100 units in 5 hours. How many units can it produce in 8 hours?
Answer: To solve this problem, we can set up a proportion. Let's let $x$ represent the number of units the factory can produce in 8 hours. The proportion can be set up as $\frac{100}{5} = \frac{x}{8}$. 

To solve for $x$, we can use cross-multiplication. We multiply the numerator of the first fraction by the denominator of the second fraction and set it equal to the product of the denominator of the first fraction and the numerator of the second fraction. 

So, $100 \cdot 8 = 5 \cdot x$. Simplifying this equation gives us $800 = 5",Proportion Problems,Easy
74,A student scores 85% on a test with 120 questions. How many questions did they answer correctly?,102 questions,Correct answers = 85% of 120 = 0.85 * 120 = 102,"Solve the following math problem: A student scores 85% on a test with 120 questions. How many questions did they answer correctly?
Answer: To find the number of questions the student answered correctly, we need to multiply the total number of questions by the percentage they scored and then divide by 100. 

Number of questions answered correctly = (85/100) x 120 = 102

Therefore, the student answered 102 questions correctly.",Percentage Problems,Easy
75,"A person deposits $2,000 in a bank account with an annual interest rate of 4%. How much interest will they earn in 2 years?",$160,"Interest = Principal * Rate * Time
Interest = 2000 * 0.04 * 2 = $160","Solve the following math problem: A person deposits $2,000 in a bank account with an annual interest rate of 4%. How much interest will they earn in 2 years?
Answer: To calculate the interest earned in 2 years, we can use the formula: Interest = Principal × Rate × Time.

Given that the principal amount is $2,000 and the annual interest rate is 4%, we can substitute these values into the formula:

Interest = $2,000 × 0.04 × 2

Simplifying the expression:

Interest = $2,000 × 0.08

Interest = $160

Therefore, the person will earn $160 in interest in 2 years.

The answer is $160.",Simple Interest Problems,Easy
76,A recipe calls for 2 cups of sugar for every 3 cups of flour. How much sugar is needed for 12 cups of flour?,8 cups of sugar,"Ratio of sugar to flour = 2:3
For 12 cups of flour: (2/3) * 12 = 8 cups of sugar","Solve the following math problem: A recipe calls for 2 cups of sugar for every 3 cups of flour. How much sugar is needed for 12 cups of flour?
Answer: To solve the problem, we can set up a proportion: 
2 cups of sugar / 3 cups of flour = x cups of sugar / 12 cups of flour
Cross-multiplying, we get:
3x = 24
x = 8
Therefore, 8 cups of sugar are needed for 12 cups of flour.
The answer is 8 cups.",Ratios,Easy
77,"A theater has 300 seats. If 80% of the seats are filled, how many seats are empty?",60 seats,"Filled seats = 300 * 0.80 = 240
Empty seats = 300 - 240 = 60","Solve the following math problem: A theater has 300 seats. If 80% of the seats are filled, how many seats are empty?
Answer: To find the number of empty seats, we need to calculate 20% of the total number of seats.

20% of 300 seats = (20/100) * 300 = 60 seats

Therefore, there are 60 seats that are empty.

The answer is 60.",Percentage Problems,Easy
78,A bike costs $200 after a 25% discount. What was the original price?,$266.67,"Let original price = x
x * (1 - 0.25) = 200
x * 0.75 = 200
x = 200 / 0.75 = $266.67","Solve the following math problem: A bike costs $200 after a 25% discount. What was the original price?
Answer: Let x be the original price of the bike.
After the 25% discount, the price is 75% of the original price, so:
0.75x = $200
Divide both sides of the equation by 0.75:
x = $200 / 0.75
x = $266.67 (rounded to the nearest cent)
Therefore, the original price of the bike was $266.67.
The answer is $266.67.",Percentage Problems,Medium
79,A farmer has 150 apples. He sells them in bags of 6 apples each. How many bags does he sell?,25 bags,Number of bags = 150 / 6 = 25 bags,"Solve the following math problem: A farmer has 150 apples. He sells them in bags of 6 apples each. How many bags does he sell?
Answer: To find the number of bags the farmer sells, we need to divide the total number of apples by the number of apples in each bag. 

Total number of apples = 150
Number of apples in each bag = 6

To find the number of bags, we divide the total number of apples by the number of apples in each bag:
150 ÷ 6 = 25

The farmer sells 25 bags of apples.
The answer is 25.",Division,Easy
80,"A box contains 5 red balls, 8 blue balls, and 7 green balls. What is the probability of drawing a blue ball?",0.32,"Total balls = 5 + 8 + 7 = 20
Probability of blue = 8 / 20 = 0.32","Solve the following math problem: A box contains 5 red balls, 8 blue balls, and 7 green balls. What is the probability of drawing a blue ball?
Answer: To find the probability of drawing a blue ball, we need to determine the total number of balls and the number of blue balls.

The total number of balls in the box is 5 + 8 + 7 = 20.

The number of blue balls is 8.

Therefore, the probability of drawing a blue ball is 8/20, which simplifies to 2/5.

The answer is 2/5.",Probability,Medium
81,A car travels 60 miles in 1.5 hours. What is its average speed in miles per hour?,40 miles per hour,Average speed = Distance / Time = 60 miles / 1.5 hours = 40 miles/hour,"Solve the following math problem: A car travels 60 miles in 1.5 hours. What is its average speed in miles per hour?
Answer: To find the average speed, we divide the total distance traveled by the total time taken. In this case, the car traveled 60 miles in 1.5 hours. 

Average Speed = Total Distance / Total Time
Average Speed = 60 miles / 1.5 hours

To divide by a decimal, we can multiply both the numerator and denominator by 10 to get rid of the decimal.

Average Speed = (60 miles * 10) / (1.5 hours * 10)
Average Speed = 600 miles / 15 hours

Now, we can simplify the fraction by dividing both the",Distance-Rate-Time,Easy
82,"In a class of 30 students, 18 are boys. What fraction of the class are girls?",2/5,"Number of girls = 30 - 18 = 12
Fraction of girls = 12 / 30 = 2/5","Solve the following math problem: In a class of 30 students, 18 are boys. What fraction of the class are girls?
Answer: To find the fraction of the class that are girls, we need to subtract the number of boys from the total number of students and then divide by the total number of students.
Fraction of girls = (Total number of students - Number of boys) / Total number of students
Fraction of girls = (30 - 18) / 30
Fraction of girls = 12 / 30
Simplifying the fraction, we get:
Fraction of girls = 2 / 5
Therefore, 2/5 of the class are girls.
The answer is 2/5.",Fractions,Easy
83,"If a train leaves the station traveling at 75 miles per hour, how far will it travel in 4 hours?",300 miles,Distance = Speed * Time = 75 miles/hour * 4 hours = 300 miles,"Solve the following math problem: If a train leaves the station traveling at 75 miles per hour, how far will it travel in 4 hours?
Answer: To solve this problem, we can use the formula distance = rate x time. Given that the train is traveling at a rate of 75 miles per hour and it travels for 4 hours, we can plug these values into the formula to get:
distance = 75 miles/hour x 4 hours = 300 miles
Therefore, the train will travel 300 miles in 4 hours.",Distance-Rate-Time,Easy
84,A product originally priced at $50 is marked down by $10. What is the new price?,$40,New price = $50 - $10 = $40,"Solve the following math problem: A product originally priced at $50 is marked down by $10. What is the new price?
Answer: To find the new price, we need to subtract the discount from the original price. The discount is $10, so the new price is $50 - $10 = $40. 

Therefore, the new price of the product is $40.",Simple Operations,Easy
85,A rectangular field has a length of 50 meters and a width of 30 meters. What is the area of the field?,"1,500 square meters","Area = Length * Width = 50 * 30 = 1,500 square meters","Solve the following math problem: A rectangular field has a length of 50 meters and a width of 30 meters. What is the area of the field?
Answer: To find the area of a rectangle, we multiply the length by the width. In this case, the length is 50 meters and the width is 30 meters. So, the area of the field is 50 meters * 30 meters = 1500 square meters.

The answer is 1500 square meters.",Geometry,Easy
86,"Two numbers add up to 50. If one number is 10 more than the other, what are the numbers?",20 and 30,"Let the smaller number be x, larger number = x + 10
x + (x + 10) = 50
2x + 10 = 50, x = 20","Solve the following math problem: Two numbers add up to 50. If one number is 10 more than the other, what are the numbers?
Answer: Let's call the smaller number ""x"" and the larger number ""y"". We know that:
x + y = 50 (since the two numbers add up to 50)
y = x + 10 (since the larger number is 10 more than the smaller number)
Now we can substitute the second equation into the first equation:
x + (x + 10) = 50
2x + 10 = 50
2x = 40
x = 20
So the smaller number is 20. We can use the second equation to find the larger number:
y = x + 10
y = 2",Linear Equations,Medium
87,"A bag contains 10 red, 6 blue, and 4 green marbles. If one marble is drawn at random, what is the probability it is not blue?",0.80,"Total marbles = 10 + 6 + 4 = 20
Non-blue marbles = 10 + 4 = 14
Probability = 14 / 20 = 0.80","Solve the following math problem: A bag contains 10 red, 6 blue, and 4 green marbles. If one marble is drawn at random, what is the probability it is not blue?
Answer: The total number of marbles in the bag is 10+6+4 = 20. The number of marbles that are not blue is 10+4 = 14. Therefore, the probability of drawing a marble that is not blue is 14/20 = 7/10. The answer is 7/10.",Probability,Medium
88,A cyclist travels 24 miles in 2 hours. What is the average speed in miles per hour?,12 miles per hour,Average speed = Distance / Time = 24 miles / 2 hours = 12 miles/hour,"Solve the following math problem: A cyclist travels 24 miles in 2 hours. What is the average speed in miles per hour?
Answer: To find the average speed, we need to divide the distance traveled by the time taken. In this case, the distance is 24 miles, and the time is 2 hours. So, the average speed is:

Average speed = Distance / Time
Average speed = 24 miles / 2 hours
Average speed = 12 miles per hour

Therefore, the answer is 12 miles per hour.",Distance-Rate-Time,Easy
89,"A store sells notebooks for $3 each and pens for $2 each. If a student buys 5 notebooks and 4 pens, how much does the student spend?",$23,Total cost = (5 * 3) + (4 * 2) = 15 + 8 = $23,"Solve the following math problem: A store sells notebooks for $3 each and pens for $2 each. If a student buys 5 notebooks and 4 pens, how much does the student spend?
Answer: To find the total amount spent, we need to calculate the cost of the notebooks and pens separately and then add them together.

The cost of 5 notebooks is 5 * $3 = $15.
The cost of 4 pens is 4 * $2 = $8.

Adding these two amounts together, the student spends $15 + $8 = $23 in total.

Therefore, the answer is $23.",Simple Operations,Easy
90,"A box can hold 48 items. If each item takes up 3 cubic inches, what is the total volume of the box?",144 cubic inches,Total volume = 48 items * 3 cubic inches/item = 144 cubic inches,"Solve the following math problem: A box can hold 48 items. If each item takes up 3 cubic inches, what is the total volume of the box?
Answer: To find the total volume of the box, we need to multiply the number of items it can hold by the volume of each item. The number of items it can hold is 48, and the volume of each item is 3 cubic inches. Therefore, the total volume of the box is 48 x 3 = 144 cubic inches.
The answer is 144 cubic inches.",Volume Problems,Easy
